Initialising login role...
Connecting to remote database...
Skipping migration 20260812182000_klyx_phone_otp_security_12_71.sql.bak-12-71-20260812-182933... (file name must match pattern "<timestamp>_name.sql")
Skipping migration 20260813133700_klyx_split_booking_batch_13_19.sql.bak-13-19g-20260813-141033... (file name must match pattern "<timestamp>_name.sql")

  
   Local            | Remote           | Time (UTC)            
  ------------------|------------------|-----------------------
   ` `              | `20260812141355` | `2026-08-12 14:13:55` 
   ` `              | `20260812161413` | `2026-08-12 16:14:13` 
   ` `              | `20260812182000` | `2026-08-12 18:20:00` 
   ` `              | `20260812183500` | `2026-08-12 18:35:00` 
   ` `              | `20260812195600` | `2026-08-12 19:56:00` 
   ` `              | `20260812202000` | `2026-08-12 20:20:00` 
   ` `              | `20260812203500` | `2026-08-12 20:35:00` 
   ` `              | `20260812205500` | `2026-08-12 20:55:00` 
   ` `              | `20260812210700` | `2026-08-12 21:07:00` 
   ` `              | `20260812211800` | `2026-08-12 21:18:00` 
   ` `              | `20260812223200` | `2026-08-12 22:32:00` 
   ` `              | `20260813101500` | `2026-08-13 10:15:00` 
   ` `              | `20260813102500` | `2026-08-13 10:25:00` 
   ` `              | `20260813105500` | `2026-08-13 10:55:00` 
   ` `              | `20260813133650` | `2026-08-13 13:36:50` 
   ` `              | `20260813133700` | `2026-08-13 13:37:00` 
   ` `              | `20260813143000` | `2026-08-13 14:30:00` 
   ` `              | `20260813154500` | `2026-08-13 15:45:00` 
   ` `              | `20260813165000` | `2026-08-13 16:50:00` 
   ` `              | `20260813174500` | `2026-08-13 17:45:00` 
   ` `              | `20260813182500` | `2026-08-13 18:25:00` 
   `20260814000000` | ` `              | `2026-08-14 00:00:00` 

